cirp	228	Mild hypothermia facilitates the expression of cold-inducible RNA-binding protein and heat shock protein 70.1 in mouse brain.
cirp	228	Methylation of Xenopus CIRP2 regulates its arginine- and glycine-rich region-mediated nucleocytoplasmic distribution.
cirp	228	Cold-inducible RNA-binding protein promotes the development of liver cancer.
cirp	228	Cloning and characterization of human CIRP (cold-inducible RNA-binding protein) cDNA and chromosomal assignment of the gene.
cirp	228	Impact of a mild scrotal heat stress on DNA integrity in murine spermatozoa.
cirp	228	Analysis of gene expression profiles reveals the regulatory network of cold-inducible RNA-binding protein mediating the growth of BHK-21 cells.
cirp	228	The protective effect of Cold-inducible RNA-binding protein (CIRP) on testicular torsion/detorsion: an experimental study in mice.
cirp	228	Moderate low temperature preserves the stemness of neural stem cells and suppresses apoptosis of the cells via activation of the cold-inducible RNA binding protein.
cirp	228	Cloning, expression, and purification of cold inducible RNA-binding protein and its neuroprotective mechanism of action.
cirp	228	Cold shock response in mammalian cells.
cirp	228	Cold-inducible RNA-binding protein modulates circadian gene expression posttranscriptionally.
cirp	228	Identification of a novel enhancer that binds Sp1 and contributes to induction of cold-inducible RNA-binding protein (cirp) expression in mammalian cells.
cirp	228	Cold-inducible RNA-binding protein, CIRP, inhibits DNA damage-induced apoptosis by regulating p53.
cirp	228	Cold-inducible RNA binding protein inhibits HO-induced apoptosis in rat cortical neurons.
cirp	228	Blocking cold-inducible RNA-binding protein protects liver from ischemia-reperfusion injury.
cirp	228	Cold-inducible RNA-binding protein bypasses replicative senescence in primary cells through extracellular signal-regulated kinase 1 and 2 activation.
cirp	228	The cold-inducible RNA-binding protein migrates from the nucleus to cytoplasmic stress granules by a methylation-dependent mechanism and acts as a translational repressor.
cirp	228	Protein overexpression of CIRP and TLR4 in oral squamous cell carcinoma: an immunohistochemical and clinical correlation analysis.
cirp	228	Cold-inducible RNA binding protein (CIRP) expression is modulated by alternative mRNAs.
cirp	228	Decreased expression of cold-inducible RNA-binding protein (CIRP) in male germ cells at elevated temperature.
cirp	228	Cold-inducible RNA-binding protein mediates neuroinflammation in cerebral ischemia.
cirp	228	Overexpression of CIRP may reduce testicular damage induced by cryptorchidism.
cirp	228	Down-regulation of cold-inducible RNA-binding protein does not improve hypothermic growth of Chinese hamster ovary cells producing erythropoietin.
cirp	228	Effects of moderate and deep hypothermia on RNA-binding proteins RBM3 and CIRP expressions in murine hippocampal brain slices.
cirp	228	Expression of cold-inducible RNA-binding protein in the normal endometrium, endometrial hyperplasia, and endometrial carcinoma.
cirp	228	Downregulation of cold-inducible RNA-binding protein activates mitogen-activated protein kinases and impairs spermatogenic function in mouse testes.
cirp	228	Cirp protects against tumor necrosis factor-alpha-induced apoptosis via activation of extracellular signal-regulated kinase.
cirp	228	Oxygen-regulated expression of the RNA-binding proteins RBM3 and CIRP by a HIF-1-independent mechanism.
cirp	228	Hypothermia protects against fulminant hepatitis in mice by reducing reactive oxygen species production.
cirp	228	Effects of ischemia and H2O2 on the cold stress protein CIRP expression in rat neuronal cells.
cirp	228	Overexpression of cold-inducible RNA-binding protein increases interferon-gamma production in Chinese-hamster ovary cells.
cirp	228	Diurnal change of the cold-inducible RNA-binding protein (Cirp) expression in mouse brain.
